,Type,ID,Date,ID_Group,Push,Boo,Neutral,Statistics,Total messages,Popularity
68,機器人,Sherlock0106,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
69,機器人,Backsir,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
70,機器人,exile14,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
71,機器人,kinger860,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
72,機器人,DogDung860,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
73,機器人,GoldKnife,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
74,機器人,amygdalaa,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
75,機器人,muachi1410,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
76,機器人,ck101,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
77,機器人,SelfieCity,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
78,機器人,NOWnews,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
79,機器人,jetrider,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
80,機器人,JeffAyres,2019-06-2-7,M.1559453943.A.CBF,1,0,0,1,1,Good
81,機器人,IphoneXII,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
82,機器人,TsaiYingWen,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
83,機器人,ddibe,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
84,機器人,Malphite,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
85,機器人,phpMyAdmin,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
86,機器人,Ethane,2019-06-2-7,M.1559452813.A.ACE,1,0,0,1,1,Good
87,機器人,qwe331024,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
88,機器人,enjoylife42,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
89,機器人,seriyu,2019-06-2-7,M.1559460825.A.DF1,1,0,0,1,1,Good
90,機器人,RotationKing,2019-06-3-1,M.1559522429.A.97C,1,0,0,1,1,Good
91,機器人,pierce100,2019-05-31-5,M.1559311053.A.8DA,1,0,0,1,1,Good
92,機器人,Waiter860,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
93,機器人,QRcode,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
94,機器人,VeryLikeLoli,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
95,機器人,numd09,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
96,機器人,guinealiao,2019-06-5-3,M.1559700955.A.078,1,0,0,1,1,Good
97,機器人,Shaco,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
98,機器人,Ryze,2019-06-2-7,M.1559466461.A.C71,1,0,0,1,1,Good
